,$\sigma ($$\bar{x}$$)$,$range ($$\bar{x}$$)$,$IQR ($$\bar{x}$$)$,$\sigma ($$\sigma$$)$,$range ($$\sigma$$)$,$IQR ($$\sigma$$)$,$\sigma ($min$)$,$range ($min$)$,$IQR ($min$)$,$\sigma ($$x_{10}$$)$,$range ($$x_{10}$$)$,$IQR ($$x_{10}$$)$,$\sigma ($$x_{20}$$)$,$range ($$x_{20}$$)$,$IQR ($$x_{20}$$)$,$\sigma ($$x_{30}$$)$,$range ($$x_{30}$$)$,$IQR ($$x_{30}$$)$,$\sigma ($$x_{40}$$)$,$range ($$x_{40}$$)$,$IQR ($$x_{40}$$)$,$\sigma ($median$)$,$range ($median$)$,$IQR ($median$)$,$\sigma ($$x_{60}$$)$,$range ($$x_{60}$$)$,$IQR ($$x_{60}$$)$,$\sigma ($$x_{70}$$)$,$range ($$x_{70}$$)$,$IQR ($$x_{70}$$)$,$\sigma ($$x_{80}$$)$,$range ($$x_{80}$$)$,$IQR ($$x_{80}$$)$,$\sigma ($$x_{90}$$)$,$range ($$x_{90}$$)$,$IQR ($$x_{90}$$)$,$\sigma ($max$)$,$range ($max$)$,$IQR ($max$)$,$\sigma ($$IQR$$)$,$range ($$IQR$$)$,$IQR ($$IQR$$)$,$\sigma ($$CV$$)$,$range ($$CV$$)$,$IQR ($$CV$$)$,$\sigma ($$\overline{\Delta x}$$)$,$range ($$\overline{\Delta x}$$)$,$IQR ($$\overline{\Delta x}$$)$,$\sigma ($$max(\Delta x)$$)$,$range ($$max(\Delta x)$$)$,$IQR ($$max(\Delta x)$$)$,$\sigma ($$\sigma(\Delta x)$$)$,$range ($$\sigma(\Delta x)$$)$,$IQR ($$\sigma(\Delta x)$$)$,$\sigma ($$\gamma_{1}$$)$,$range ($$\gamma_{1}$$)$,$IQR ($$\gamma_{1}$$)$,$\sigma ($$Kurt[X]$$)$,$range ($$Kurt[X]$$)$,$IQR ($$Kurt[X]$$)$,$\sigma ($$R_{XX}$$)$,$range ($$R_{XX}$$)$,$IQR ($$R_{XX}$$)$,$||X_{train}||$,$||x_{train}^{i}||$,$||X_{test}||$,$||x_{test}^{i}||$,$||Y_{C}||$
ACSF1,2.2035526134971439e-10,2.341240803546901e-10,4.0432454182257364e-10,4.5028887322014447e-10,3.6469588378271963e-10,3.765904372121257e-10,0.07171953757907966,0.08330721903919817,0.08942003293251413,0.0699368345083892,0.0923036946873745,0.10413888972114196,0.06401639579606709,0.09076857275615587,0.0957425517510049,0.026599942976628526,0.06092544055513215,0.027398564730552594,0.048696029964547166,0.057584447399946115,0.04022422395296266,0.030585053889175547,0.027449526628269254,0.03228597955990017,0.18203043291198687,0.17077218928717888,0.16117431864296836,0.1978824540840805,0.20203013073765308,0.2927035191320186,0.12676402775098125,0.15916930373573032,0.10242089747426655,0.09799542467301789,0.11061893369256617,0.10225359573667592,1.0,0.9300102305073392,0.6858783152517361,0.14444912014960162,0.19977790934433262,0.28135380632288537,9.929411756561104e-10,8.373540668884004e-10,1.0123132695881725e-09,0.0024049100481678878,0.001882042016006638,0.0023898812723174862,1.0,1.0,1.0,0.2828069179139159,0.2818582507127713,0.500095564269129,0.46853162861794145,0.4879312591924137,0.198152898234181,0.5503449685662065,0.5111972423085469,0.13134759150422798,0.539644803208959,0.45171716356218644,0.8091910015797601,0.009427609427609427,0.8314997104806022,0.004767580452920143,0.8314997104806022,0.16666666666666666
Adiac,1.0099117718623294e-09,1.4852905801421628e-09,1.5618181764074093e-09,2.6860645055557957e-09,2.491672797941351e-09,3.050617635534626e-09,0.17411629472101672,0.3964359912039757,0.15176233787763502,0.09606468178973744,0.23228185829780904,0.1671414704578073,0.10526155926132093,0.33311463584252915,0.03213998130454266,0.052800303470507653,0.24092649516208428,0.06820368375053285,0.09628955063992127,0.1521934501218763,0.17510147245676597,0.12939842929945913,0.15562442247112948,0.14110811315222965,0.09881650015697546,0.11054880788538939,0.09578550907715962,0.07365122114547679,0.16278596646828566,0.03053223571692023,0.07159894130430583,0.12765918438013169,0.09537911824326328,0.07301616901317795,0.11243895297914866,0.09553879597144282,0.07278734938771375,0.12020270091023576,0.04846050098994937,0.10018456478662555,0.3283430712541353,0.07142323159717422,9.597619981550888e-10,1.1168651022894577e-09,1.108870285335267e-09,0.015818824377931646,0.018071887843204692,0.005738383097494751,0.03377999484011514,0.06359473205112032,0.019151242615265195,0.069372059226606,0.15020922863550137,0.028370135439153055,0.04469304946105812,0.0762239624834705,0.04379232741437792,0.005958410990815882,0.015077272243174492,0.0019398429267191211,0.003040718009440564,0.005534909999627908,0.0008651900736558774,0.04197530864197531,0.08801389693109438,0.022109654350417163,0.08801389693109438,0.7291666666666666
AllGestureWiimoteX,0.10053872464052377,0.11064438708666921,0.17062282045457086,0.9760672515856591,0.6822204673105522,1.0,0.7323514156910771,0.8234028083866026,1.0,0.470086958295754,0.5832493380727852,0.83766312930434,0.31580238200576494,0.4549503266446261,0.5165298121348131,0.13725991154763287,0.28506106794968417,0.23395059252493716,0.1531897009881204,0.1697070685574241,0.17440907119395166,0.10543923711309457,0.08278106966308617,0.10942519744288307,0.10333394012155626,0.1057815443497455,0.0505160554852293,0.16317797787441699,0.20540024462076353,0.15055720844628456,0.25258297706807703,0.3162358387197244,0.298400232973833,0.43842203094174176,0.5078030080150409,0.5872961830643959,0.45467339912113935,0.44979822656711255,0.5007332812392309,0.29803677756927577,0.4515036780054471,0.46742484564605047,0.2619576391729761,0.20780898107887386,0.33855377150002763,0.10734485779401487,0.0942461367752548,0.03814118467225725,0.15684309536903843,0.15949231294584082,0.21840814230807643,0.6529736474329518,0.7323562680467021,0.7170456826707138,0.11131545692144777,0.13649712297802666,0.07450402179686147,0.12077738004241632,0.15870377161945365,0.0613874870697009,0.19143880838990585,0.1459788649815816,0.30831968072342364,0.031874298540965205,0.10191082802547771,0.04052443384982122,0.17486971627099016,0.16666666666666666
AllGestureWiimoteY,0.17356140616639518,0.18851082388793017,0.2871925413156674,0.6292013164926464,0.5039009771196584,0.6515427643487481,0.4911259779160327,0.6389073035093809,0.5189308281017877,0.2906374543177216,0.41276326204980873,0.44883506922129973,0.18550249007700947,0.29648625703770004,0.22899336066516693,0.07249204975251283,0.17297967654341273,0.12384304902772228,0.0781162092306677,0.0881698467212775,0.13123105636426094,0.13559041480005776,0.10886483591075377,0.1566393904322206,0.21393191008164728,0.19283078926149555,0.15640074268898005,0.20572685013099717,0.23938567415332276,0.22658209255591386,0.23984954907744035,0.30460206157576025,0.28040669048783506,0.4061613881225028,0.4300774263511492,0.6806388072001551,0.43569798054112097,0.4021168410899277,0.48266329149120024,0.1933166805616,0.3505646930421896,0.11289777823586389,0.19018326992676834,0.1760288115889272,0.2148800131430801,0.2894745457681087,0.22401825327945832,0.20741878053602647,0.13279632169336955,0.14740347213399332,0.18141428774350798,0.6168968175528048,0.7249774241225674,0.7100813299828846,0.2829250541062055,0.3044605553867782,0.2702607361557499,0.0741622869351142,0.08594834273176326,0.0682576370047436,0.08114107361383326,0.07334362989335838,0.09159418320808221,0.031874298540965205,0.0225825130283729,0.04052443384982122,0.03821656050955414,0.16666666666666666
AllGestureWiimoteZ,0.12148713279145376,0.1429792081782509,0.13717303738546885,0.7104028943134055,0.43063900914173303,0.7690909315583345,0.5348262589013306,0.619555357907812,0.6756847161868336,0.35677475617012083,0.4239667384768283,0.6990796678426443,0.22298232553399094,0.2965471737754874,0.4245170117556505,0.10521847952932666,0.2280303025861137,0.2159974233596622,0.1501217073007894,0.19329346175050885,0.15990880620383544,0.1535334909388335,0.15003000517318352,0.07712437318700585,0.1372912016083665,0.12880977958041562,0.10164100475151826,0.13259397502330109,0.14145737236422803,0.141879937981285,0.1901734991591317,0.22036804243458982,0.330139543744582,0.3420049124628705,0.2994409007969304,0.7636208029946009,0.31152733562289325,0.2684632657950342,0.33858969491333774,0.19857261202612636,0.22800982731678573,0.4392594190378006,0.1608867529974525,0.1110540408129001,0.2166349949586123,0.288838028454597,0.2587251809258486,0.14614703172383456,0.1230481001626762,0.1306736314569778,0.17110163487862814,0.4280054167811613,0.41079060450597266,0.5855721395965524,0.06395025604955712,0.06414734859912981,0.07629544822924189,0.06978711494654667,0.07681396580979981,0.07045344768069632,0.18799788249989255,0.15772767006606403,0.22897983329043137,0.031874298540965205,0.038795599305153444,0.04052443384982122,0.049797336421540245,0.16666666666666666
ArrowHead,4.015590758640645e-10,2.674587388549386e-10,4.386527941341569e-10,9.713857578287055e-11,5.133464330124937e-11,7.325720695158612e-11,0.176790727873896,0.14157480393404456,0.15830379603060704,0.03247695350506869,0.02772304730880023,0.033190911492089005,0.13077542433561426,0.12523923778056678,0.14448424580731078,0.075534586918965,0.10570056219417681,0.10621622422546255,0.03145460180563687,0.024082343124244274,0.03460778094896151,0.11176050669931406,0.057600924373788276,0.07467009806146643,0.22277432214705825,0.12124108730667639,0.1436408081533878,0.15695244436376987,0.10718015085452437,0.13463722908542083,0.06673225575905015,0.0512945592747232,0.07569119693620126,0.1510974872223797,0.10217856358657543,0.1543887045868378,0.13781745741452645,0.09083955186563959,0.10236886226385351,0.1826965781082803,0.1742790819871376,0.21837913091611977,1.1011709346190136e-10,5.897656370138426e-11,9.30660300302625e-11,0.0033841179062161103,0.0013743993123890691,0.002978817709795834,0.043954796535421004,0.029457811635655015,0.045390901586527546,0.14457411177214186,0.09907240337266339,0.15732790406830496,0.011264541129244176,0.008291387199385979,0.008953532796636935,0.013085845956782326,0.009681744334756694,0.010044822937801168,0.00468753294389695,0.0027493694295084962,0.004316315558723978,0.002244668911335578,0.13144180660104227,0.009237187127532777,0.13144180660104227,0.020833333333333332
BME,1.0,0.6097272112933294,1.0,0.4182144221371028,0.20235574609368168,0.2887710104856401,1.0,0.7332295410211376,0.8198706018303982,1.0,0.8352601981240501,1.0,1.0,0.8668020314656983,1.0,0.6526585109265256,0.8210338064059942,0.8250392341121197,0.46657785400868523,0.34564054352611645,0.49670632777378987,0.15304111368087972,0.0851624426002141,0.11039906059225844,0.24661240633374473,0.13743893626908368,0.16283126715530621,1.0,0.631852838732882,0.7937189369346873,1.0,0.6776819676660432,1.0,1.0,0.6618266787069511,1.0,0.009239299518632397,0.00796911893931847,0.008980555521344098,0.11510316416070893,0.11293930016373185,0.14151776526944737,0.34161813417991393,0.18061631197818276,0.2850155367545942,0.00585375668983147,0.0025576971045296096,0.005520396393400011,0.039051860495975005,0.026635330517586018,0.04098401540398379,0.33701233150215054,0.21214590547313475,0.33595628893088375,0.0974671056973927,0.06292809427679776,0.06795349709140275,0.014845978168856298,0.010435724601181745,0.010827203900950507,0.013565978851877807,0.0074245301349469385,0.011653187182474675,0.0015712682379349046,0.06022003474232773,0.0077473182359952325,0.06022003474232773,0.020833333333333332
Beef,6.11820455260596e-10,5.523074832355628e-10,3.8206895489708467e-10,1.5653801342547987e-09,1.0430136219589067e-09,9.41839409527947e-10,0.26065393477913384,0.25031897357574595,0.068598492115822,0.09931792693537654,0.12799659655138557,0.00682322389234821,0.07571942591528262,0.09488822877466493,0.09131019858159914,0.03768050318815794,0.06768307162601715,0.018799930670706573,0.05415163189627905,0.052664139263207975,0.05272697165582074,0.0777106443559368,0.05036207952914886,0.0775853210380534,0.10706361701133865,0.06803690014800823,0.09584184576634129,0.07953092284061894,0.06223382620193097,0.11210785993591202,0.06618659677300744,0.06009235257357131,0.11121922764446324,0.13569950827410274,0.13142500114480707,0.11786969937608663,0.08162520599326001,0.0745325563883693,0.048499854123085384,0.1049320701513444,0.12619417948615141,0.08542460822784764,5.086228403033929e-10,3.7076716663707107e-10,4.727101644320904e-10,0.058404767388334125,0.03307851521454667,0.0031233620781993417,0.07326357596005656,0.05969251013923958,0.03650227918185227,0.07327895540931835,0.06471304645392863,0.03706389507684796,0.12406104963767296,0.10578639534328628,0.12481620857512643,0.026743035353119234,0.026254909791589176,0.006603428162052707,0.0036621102058056066,0.002690810871306969,0.0015767440301949537,0.0015712682379349046,0.2582513028372901,0.0005959475566150178,0.2582513028372901,0.0625
BeetleFly,1.0060417482081728e-09,5.005990950104596e-10,8.210214104576519e-10,5.359519903405622e-10,1.872081906649378e-10,2.6715464942125433e-10,0.3308331902064931,0.19132944905859575,0.21393763040301095,0.020856772606691984,0.013762436139969447,0.016476825031144452,0.03672813973249859,0.02513989428858704,0.029003040343683954,0.008139117126110916,0.008099603071636393,0.008139117126111256,0.0026199137038829933,0.0014119942134896424,0.002029120928538786,0.015739220029602964,0.006186513984710606,0.008019795010567992,0.0,0.0,0.0,0.0019201891620943174,0.0009736444191783219,0.0012230696231291115,0.025626994181598802,0.013877551330761038,0.020477970483049848,0.028353801847585826,0.014980238232110815,0.022634684750663006,0.01794681373750762,0.008220441698822427,0.00926377603953277,0.01754799029501128,0.012042814232984173,0.015090160425434275,3.7423879932859954e-10,1.4809405432374278e-10,2.3369497686355125e-10,0.0007061118959091521,0.00020975033596182778,0.0004772943975497348,0.0021973725977848866,0.0005360322150378946,0.00023382709368165657,0.14235996579445964,0.06948646831020266,0.110589387115318,0.0,0.0,0.0,0.007415367524678529,0.0036822941068555244,0.003819387264361851,0.006910636198511231,0.0028947818405467667,0.004544515669801821,0.0004489337822671156,0.28257093225246094,0.0,0.28257093225246094,0.0
BirdChicken,2.628980444293171e-10,1.30816164792103e-10,2.145474017284762e-10,2.49154136914884e-10,8.702961460959805e-11,1.2419538472025014e-10,0.47201891614560443,0.2729808309589656,0.3052372356067381,0.02494239161292936,0.016458350398896853,0.019704459084559423,0.010474763539222215,0.00716982809344365,0.008271586628978752,0.05167424115122966,0.05142337133965897,0.051674241151229656,0.09863494759076084,0.05315899338195469,0.07639268276091857,0.20403369999862825,0.08019821414400825,0.10396375717214455,0.23844778622977375,0.09582088030818943,0.11352412776225129,0.10771697584595678,0.054618594070593156,0.06861061589834139,0.13677114723426959,0.07406442608370849,0.10929083200898627,0.23139155466147643,0.12225170481053303,0.18471861099552928,0.0,0.0,0.0,0.05379438038253179,0.03691794438189835,0.04625976059435296,1.075614635901388e-10,4.2564301885997847e-11,6.716707228753447e-11,0.004708515534036971,0.0014682537934520752,0.0031804056363641422,0.026838907297150057,0.01255587489511007,0.019001030985340586,0.12656774630108647,0.06167630632618526,0.09825124780943076,0.12038266231178497,0.06296997674159434,0.06799872426668026,0.016024687087978075,0.008220949015188257,0.00852900282952835,0.0027661533094488597,0.0011576944611668308,0.0018184517107766784,0.0004489337822671156,0.28257093225246094,0.0,0.28257093225246094,0.0
