,$\sigma ($$\bar{x}$$)$,$range ($$\bar{x}$$)$,$IQR ($$\bar{x}$$)$,$\sigma ($$\sigma$$)$,$range ($$\sigma$$)$,$IQR ($$\sigma$$)$,$\sigma ($min$)$,$range ($min$)$,$IQR ($min$)$,$\sigma ($$x_{10}$$)$,$range ($$x_{10}$$)$,$IQR ($$x_{10}$$)$,$\sigma ($$x_{20}$$)$,$range ($$x_{20}$$)$,$IQR ($$x_{20}$$)$,$\sigma ($$x_{30}$$)$,$range ($$x_{30}$$)$,$IQR ($$x_{30}$$)$,$\sigma ($$x_{40}$$)$,$range ($$x_{40}$$)$,$IQR ($$x_{40}$$)$,$\sigma ($median$)$,$range ($median$)$,$IQR ($median$)$,$\sigma ($$x_{60}$$)$,$range ($$x_{60}$$)$,$IQR ($$x_{60}$$)$,$\sigma ($$x_{70}$$)$,$range ($$x_{70}$$)$,$IQR ($$x_{70}$$)$,$\sigma ($$x_{80}$$)$,$range ($$x_{80}$$)$,$IQR ($$x_{80}$$)$,$\sigma ($$x_{90}$$)$,$range ($$x_{90}$$)$,$IQR ($$x_{90}$$)$,$\sigma ($max$)$,$range ($max$)$,$IQR ($max$)$,$\sigma ($$IQR$$)$,$range ($$IQR$$)$,$IQR ($$IQR$$)$,$\sigma ($$CV$$)$,$range ($$CV$$)$,$IQR ($$CV$$)$,$\sigma ($$\overline{\Delta x}$$)$,$range ($$\overline{\Delta x}$$)$,$IQR ($$\overline{\Delta x}$$)$,$\sigma ($$max(\Delta x)$$)$,$range ($$max(\Delta x)$$)$,$IQR ($$max(\Delta x)$$)$,$\sigma ($$\sigma(\Delta x)$$)$,$range ($$\sigma(\Delta x)$$)$,$IQR ($$\sigma(\Delta x)$$)$,$\sigma ($$\gamma_{1}$$)$,$range ($$\gamma_{1}$$)$,$IQR ($$\gamma_{1}$$)$,$\sigma ($$Kurt[X]$$)$,$range ($$Kurt[X]$$)$,$IQR ($$Kurt[X]$$)$,$\sigma ($$R_{XX}$$)$,$range ($$R_{XX}$$)$,$IQR ($$R_{XX}$$)$,$||X_{train}||$,$||x_{train}^{i}||$,$||X_{test}||$,$||x_{test}^{i}||$,$||Y_{C}||$
ACSF1,2.0095103409131852e-10,3.681460710758863e-10,3.884889305689493e-10,3.6180939059138925e-10,4.5932547544400347e-10,3.0333323028276093e-10,0.07166336775914404,0.09965466416503217,0.08800278028466259,0.06163337308647387,0.1042470807273469,0.0979842341966377,0.05410840500475415,0.09724943334458895,0.08820052339198421,0.03172977619836081,0.06498168888308986,0.023576257615802503,0.09931097683206794,0.16318359792825,0.07721217492111451,0.03201313767912174,0.07734545187297957,0.06987037689008782,0.21990277820085297,0.5133776984731837,0.4089664466828015,0.19633927346699095,0.3186925296168504,0.3678005924468729,0.11271299042002993,0.22506702780386093,0.0909172135311215,0.08909574246824772,0.15882386360430015,0.09328755517120492,1.0,1.0,1.0,0.47952447403070214,0.4399648294573276,0.5997539971306138,2.7917305973333943e-09,3.909349794980976e-09,2.8902552714047935e-09,0.002365957040808026,0.0059856696423772685,0.0034991045934980366,1.0,1.0,1.0,0.27231411336503836,0.2730810121367261,0.49214381253630746,0.790904147258994,0.5748222325584257,0.4085678179940785,0.8999447688953447,0.6223546963211027,0.19997589761078982,0.7330576573221171,0.591128293309449,1.0,0.1789709172259508,0.8891640866873065,0.020942408376963352,0.8891640866873065,0.22857142857142856
Adiac,9.905075446192544e-10,2.420156341625171e-09,1.5459825651721146e-09,2.652405278247749e-09,3.577052099366094e-09,2.9773604288011533e-09,0.17406632088133003,0.4805838760022226,0.15044211657239162,0.08799448578461097,0.2730131499500774,0.16141964897101257,0.09579017515624101,0.37916774926583163,0.024067470845603744,0.0722515903189883,0.2864031198779402,0.07352743055789078,0.20189251826254118,0.4380271659903712,0.34986926653034384,0.14613962873849362,0.45397198342767603,0.31653558977834756,0.11937576903478861,0.3323333430229452,0.24304777349650192,0.07186903412379717,0.2564870160683194,0.03698336774072873,0.05666025537244879,0.1779741945037066,0.08378518442415418,0.06387002748528996,0.16160132238549554,0.0865056928515598,0.07278734938771375,0.1292487942252665,0.070654662660042,0.32952141960954073,0.7259943955163111,0.14818521071615406,2.694607013468381e-09,5.254388079580118e-09,3.1754596433098e-09,0.015780395142499768,0.05747605501020631,0.008457309421997057,0.03213663976724501,0.06309251945904037,0.0189218399604286,0.05575662241584279,0.13982295552522653,0.012914862577076735,0.07544403838150755,0.0897979530184596,0.09029459481046487,0.00802996903892105,0.017965083444869787,0.0024401590798530013,0.00387324601587893,0.007068209909042503,0.0008611549685847172,0.8277404921700223,0.09411764705882353,0.09712041884816754,0.09411764705882353,1.0
AllGestureWiimoteX,0.10053872462307042,0.18146539145607657,0.17062282044143717,1.0,1.0,1.0,0.7323352203994651,1.0,1.0,0.4653559758614208,0.6961605928003389,0.8365478587488999,0.3085597084502909,0.5208977709241027,0.5124973920815628,0.20287790517453635,0.3406935810328234,0.27642482930712264,0.32453326951429895,0.4889050448604414,0.34846956334363344,0.11846747887524404,0.23993054314015802,0.24472048295785764,0.12483308505978095,0.3180019299740189,0.12818029501331346,0.1615680298922627,0.3240344618179537,0.18843522721418418,0.2405564632450641,0.45980774920705847,0.28940828791657625,0.43288118825144056,0.7649506245186677,0.5831743963921276,0.45467339912113935,0.48364868666201505,0.7300613973419585,1.0,1.0,1.0,0.7668142084807079,1.0,1.0,0.10731000236752532,0.29974157591016753,0.0564368942073146,0.1554090470476921,0.15904153211554584,0.21822534221193188,0.6478965213678137,0.7290850853156203,0.712544857468307,0.18790589824832077,0.16080457951780924,0.15361847284894325,0.19614765191759279,0.19293559379412992,0.09318460381976537,0.259884995487037,0.19091171198670154,0.38089321668781045,0.6263982102908278,0.10897832817337462,0.17801047120418848,0.1869969040247678,0.22857142857142856
AllGestureWiimoteY,0.17356140615035873,0.3091723977373393,0.28719254130437966,0.6446290616102162,0.7386189674031881,0.6515427643232211,0.49109518618514164,0.7755564690701708,0.5181820783133773,0.28430437421008065,0.49061235466456904,0.44504851096220277,0.1768805080341424,0.33655838835410745,0.22256272086218093,0.10270709808714995,0.20282093285717193,0.14163779573016363,0.1627222835698999,0.2520356102973748,0.2611843312120507,0.1532911866621013,0.31657455636242215,0.3517400623449982,0.2584415178285905,0.5796905643656017,0.39685389418492106,0.204198761217105,0.37790441004081426,0.28436618060518937,0.22761814462035676,0.44242071485441004,0.2711841339722745,0.40030224386626023,0.6463367170137312,0.67744925902031,0.43569798054112097,0.43237894369244184,0.7037156311233568,0.6451261222072386,0.7754326783508415,0.2373985647842465,0.5567130397393231,0.847070279018879,0.6346998061154757,0.289446801943458,0.7124704159572313,0.30709018245033787,0.1313213744180634,0.14694620782022472,0.18122283545875045,0.611291873896936,0.72161605602961,0.7054697260003846,0.4775912339496316,0.35867900011790654,0.5572456433623886,0.11977418005182196,0.10430254502916822,0.1036716121801967,0.11000281788267183,0.09583096611502002,0.113007594091059,0.6263982102908278,0.02414860681114551,0.17801047120418848,0.04086687306501548,0.22857142857142856
AllGestureWiimoteZ,0.12148713277440691,0.23449701033939063,0.13717303737180545,0.727821667137064,0.6312314416781813,0.7690909315414188,0.5347981114541592,0.7520143290919176,0.6751799426234494,0.3510321397587717,0.5041199377721722,0.6970123150314799,0.21475709174921281,0.33662925207646266,0.41971715190834985,0.153322214797381,0.27053936051946426,0.2544476392052115,0.3179206147436629,0.5574246178016842,0.31915698376756996,0.17401490255609858,0.43753346035231405,0.17150477372181105,0.165855325251084,0.3872297266777301,0.25790560742235014,0.13092518698630304,0.22267928505373155,0.1774859329365546,0.1771427689137865,0.3165304071456158,0.3215543806619195,0.33551276449426676,0.44697753015218217,0.7612600188587701,0.31152733562289325,0.28866700277972435,0.4936585504807307,0.6629373431049115,0.5027747161071718,0.9394150779182561,0.4709549549028444,0.5344044334596401,0.6398835670522736,0.2888102597759109,0.8228527567478897,0.2163636735002923,0.12155657303058966,0.13020739460008168,0.17090777065224574,0.41963692088424803,0.4035891969278289,0.5789800247410908,0.10795113848997578,0.07557073140893922,0.15731218207599476,0.11260596365445028,0.09317474759137584,0.10702342911787133,0.25520916541294275,0.2062910956863175,0.28282443996340173,0.6263982102908278,0.04148606811145511,0.17801047120418848,0.05325077399380805,0.22857142857142856
ArrowHead,3.8215484860918474e-10,4.2281750099299333e-10,4.228171828810761e-10,0.0,0.0,0.0,0.1767409158629181,0.17053868110222475,0.15699375603752008,0.023839056005775558,0.026384779030964603,0.026548836253580267,0.12157412096599972,0.1373487512728678,0.1373487512728676,0.10741272515449043,0.120060096773167,0.1200600967731666,0.06214935794139144,0.06585842155168113,0.06585842155168116,0.12576835604819891,0.1659417115363611,0.16594171153636042,0.2691236381096579,0.3644766201200236,0.3644766201200247,0.15533051918114968,0.16834682042555207,0.16834682042555293,0.05171526111975601,0.06384493591431285,0.06384493591431233,0.14272173970046392,0.1459433517106914,0.1459433517106919,0.13781745741452645,0.09767586300215729,0.1492522215493594,0.6091368799523376,0.3832354759089047,0.4642930344507703,2.074881524324407e-10,1.6371041385596324e-10,1.7503743295981017e-10,0.003345203133898988,0.0043711565261051145,0.004371156526105113,0.04232874685044612,0.028937290740670037,0.04516763590987918,0.1320589092758809,0.08806112814296163,0.14392390358323495,0.0190150925826901,0.009767920401012715,0.018461124670188407,0.019707451964790804,0.011392074453915742,0.014812086030646359,0.006111081715667557,0.0034218903956397782,0.005126951609155542,0.035794183445190156,0.14055727554179567,0.04057591623036649,0.14055727554179567,0.02857142857142857
BME,1.0,1.0,1.0,0.4284688594993629,0.29661342008002184,0.2887710104335374,1.0,0.8903018990275504,0.819590243294361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17344622156028824,0.24692792140015896,0.24692792140015668,0.29792135536923703,0.41317081590943844,0.4131708159094415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009239299518632397,0.00856885083400766,0.013093511373147855,0.380077343089344,0.2467677818891944,0.2989612639234206,1.0,0.8691458426734899,0.8418619455527904,0.005814938349281789,0.008134531420006898,0.008134531420006896,0.03741747185634242,0.026113295870375457,0.04075971903694383,0.3273125725423605,0.20251663192422906,0.32539364864856024,0.1645292087212716,0.07413435184026917,0.14011206638466522,0.022591226275172065,0.012310597933792815,0.01600635919486638,0.01817588802499364,0.009541754486437442,0.014195761903162438,0.02237136465324385,0.06439628482972136,0.034031413612565446,0.06439628482972136,0.02857142857142857
Beef,5.924162280097963e-10,8.899915734456974e-10,3.6623334364310786e-10,1.5042422089593033e-09,1.453604848065717e-09,8.685822026399908e-10,0.26060919729188214,0.3028287627421981,0.06714883222761589,0.09127677540439455,0.1472805838922133,0.0,0.06593531925413054,0.1020417805860581,0.0837312018422067,0.04886711296702517,0.07329433096798146,0.013050326867290572,0.11106980550552002,0.14888987317310326,0.10248673281431718,0.08644178417299232,0.1446712356887226,0.17254959609438988,0.12933873994800077,0.2045334627085947,0.24319072316606766,0.0777600476793224,0.09710287220581745,0.13991844612255896,0.051160822061629106,0.07699350601511935,0.09982830614110824,0.12717183567000462,0.1905751726005255,0.10905962113810659,0.08162520599326001,0.08014165214904172,0.0707120389209048,0.345609693844965,0.2762570099540702,0.1783027134263042,1.374012136423837e-09,1.6640815785400828e-09,1.2964077037964074e-09,0.058368001002457356,0.10520331780623128,0.004585186747012242,0.07168737489246682,0.059188204708675786,0.03627693461836011,0.05972067795920976,0.05328182589547451,0.021746909882018887,0.2094210778494755,0.12462487450830964,0.25735624581965616,0.0420831869595848,0.03158204796630806,0.009558934916616938,0.004717647904336898,0.003345236256857012,0.0017406780373697324,0.02237136465324385,0.2761609907120743,0.002617801047120419,0.2761609907120743,0.08571428571428572
BeetleFly,9.866375209650227e-10,8.051857992106255e-10,8.051857992106262e-10,4.495729304394683e-10,1.9916369250772085e-10,1.938974424838726e-10,0.3307926992334148,0.2310664876704464,0.2127141804974792,0.01211513191297361,0.009553028919800198,0.009719922345173599,0.026531285131419675,0.02090436598890612,0.020904365988906316,0.0031780257824567553,0.0,0.0,0.0,0.0,0.0,0.014866643915413072,0.014866643915413074,0.014866643915413563,0.0,0.0,0.0,0.0,0.0,0.0,0.009948584319755198,0.00792407767159477,0.007924077671593782,0.018766996397186753,0.012873468195303679,0.012873468195303182,0.01794681373750762,0.008839087387606491,0.013506442518353581,0.04948384826160699,0.022295011358287046,0.027010595645153384,9.806371145947734e-10,5.925537206774149e-10,5.90418854422781e-10,0.0006670925557278935,0.0006670925557278936,0.0006670925557278913,0.000500301536631238,0.0,0.0,0.12981236950973807,0.05811358924560852,0.09644193836972784,0.0,0.0,0.0,0.01041702484920279,0.004083347493713704,0.005309208135408747,0.00913202822483579,0.0036122376903614823,0.005409020537516905,0.0,0.3021671826625387,0.0,0.3021671826625387,0.0
BirdChicken,2.434938171717467e-10,1.9871306291951695e-10,1.9871179047184659e-10,1.5574291720184949e-10,5.232175377521467e-11,5.093817777239561e-11,0.47198696825527386,0.33039749560592224,0.3041558870123515,0.016237226699632852,0.012803384837505443,0.012969730567698049,0.0,0.0,0.0,0.07051000787012524,0.05329308090411791,0.0532930809041175,0.20694771130288173,0.150327447481611,0.15032744748161156,0.2323411325207039,0.23234113252070393,0.2323411325207037,0.28805804506943755,0.2880580450694376,0.2880580450694389,0.10600032736364458,0.08503204755352886,0.08503204755352982,0.1228811321400372,0.09787519552079503,0.09787519552079547,0.22380803336843236,0.1765761712470955,0.176576171247095,0.0,0.0,0.0,0.17231506570599767,0.07763677406027265,0.0940576112582569,2.0000719748199263e-10,8.47327790485046e-11,9.85386315122178e-11,0.004669652475357038,0.004669652475357039,0.004669652475357038,0.02518374676448397,0.012026289158488485,0.018771593198740368,0.1137891039052466,0.050207970264251355,0.08390754191228733,0.2032117813717727,0.07418369274939493,0.14020531946590623,0.024522405351984387,0.00961248570329753,0.012498247424696324,0.0035001435653925824,0.001338361059066489,0.002039443126117394,0.0,0.3021671826625387,0.0,0.3021671826625387,0.0
CBF,7.218069534638118e-10,7.769753162425568e-10,7.769756343544751e-10,6.784607232706699e-10,4.655600423432222e-10,4.532507120165466e-10,0.060279518979777694,0.05674661064548992,0.052239547591517076,0.18587797596496974,0.20005872926617912,0.2001935218827136,0.16592591149926264,0.17708235649084111,0.1770823564908409,0.039108512051737085,0.040975935491991196,0.0409759354919912,0.3491550281175222,0.33096347716286706,0.3309634771628667,0.5943953345090148,0.7517151860505065,0.7517151860505067,0.6277477701181865,0.8437334114974643,0.8437334114974632,0.3239408136574484,0.35669888332354033,0.3566988833235405,0.024230130124533303,0.032530189352182076,0.03253018935218206,0.30863286038163673,0.33176272009990626,0.33176272009990726,0.5559079933804569,0.3689577856864237,0.5637807282072826,0.5609677642681767,0.3593445537385959,0.4353489793004159,7.975226731300404e-10,6.198072837053826e-10,6.168168839214287e-10,0.016552885975728106,0.021174878132360356,0.021174878132360346,0.5368346975987179,0.3699257632129034,0.5774096938177185,1.0,0.6280002835939712,1.0,0.4239190219123279,0.20366859267953508,0.38492853406840744,0.05446100413671863,0.029146020538106818,0.03789593944525471,0.40823152399298607,0.21000115576307657,0.3112494635632307,0.02237136465324385,0.06439628482972136,0.23036649214659685,0.06439628482972136,0.02857142857142857
Car,5.105273372366575e-10,6.686966998288011e-10,7.485516982896712e-10,3.887993565456328e-10,3.5722953549804965e-10,1.4292766338523315e-10,0.09460128501406717,0.11689736554984957,0.0677465057849981,0.03665846282882449,0.05138885196270982,0.0615815000656968,0.005697574415553227,0.014044682829291319,0.010434713956090092,0.024511099119619326,0.03187733894286901,0.04547116964591584,0.19399149303015126,0.24214794143819213,0.12375304722550627,0.16815132489576678,0.26067909781798637,0.33496025448738903,0.1486140989802196,0.22410726885208293,0.30449018025160346,0.039439231972968995,0.05506236441976104,0.05493061104955834,0.04946970182641221,0.0684444684602114,0.05317822873292322,0.11937257997218456,0.143136209955362,0.2022265552961945,0.04492435426181977,0.03892188591790783,0.03689838770685715,0.11642758407608782,0.09877368713799091,0.08059205957135407,5.792154362378371e-10,6.434364329564543e-10,5.507026280764661e-10,0.0012399441996759888,0.0017727917861383455,0.0028913490670326903,0.0,0.0004267266095300738,0.0034281945153842395,0.0,0.0,0.0,0.06202607086502897,0.03547894313949973,0.08066998613974789,0.003156529545184989,0.0024760532161535904,0.004086988613101611,0.0,0.0,0.0,0.0894854586129754,0.34241486068111454,0.010471204188481676,0.34241486068111454,0.05714285714285714
Chinatown,0.47597525395931023,0.388439023572563,0.38843902357256305,0.34542526516668476,0.17262673427365313,0.16806251204209144,0.029059179382860737,0.018795162054288404,0.017302368396222848,0.06738915710049202,0.05313772654613617,0.05329727581307098,0.18268813051199015,0.14394250120696422,0.14394250120696434,0.1665544156715971,0.12931196875874057,0.12931196875874035,0.886152314780464,0.6437037390855805,0.6437037390855809,1.0,1.0,1.0,1.0,1.0,1.0,0.6179393311127512,0.4957026822013076,0.4957026822013081,0.4466751807219505,0.3557781401104376,0.35577814011043796,0.45044512975542156,0.3575209510745725,0.3575209510745725,0.2309006157527672,0.11372217655691211,0.17377156411889322,0.567260103599407,0.2555797678868954,0.3096370598129,0.5433109338400859,0.35343850387518144,0.3423434962294337,1.0,1.0,1.0,0.09197248866636913,0.04456715674116188,0.06956397982324367,0.03532893520784765,0.01149699746724716,0.022531110612592053,0.07579697997779107,0.027670147055684165,0.05229588422776979,0.0004808277021761531,0.00018847863195213275,0.0002450617508432698,0.047643541553573074,0.019161283079135297,0.028450601329437327,0.0,0.0,0.08455497382198952,0.0,0.0
ChlorineConcentration,1.117784242127267e-11,1.874697153025142e-11,1.874697153025144e-11,1.01344326021256e-10,7.31152409664964e-11,7.11818886100351e-11,0.0,0.0,0.0,0.005210166327923614,0.00975838555815201,0.009925244380286979,0.0028871832247013753,0.0075918452192212955,0.007591845219221917,0.0,0.0013084875174497108,0.0013084875174495024,0.00344333516614788,0.005177554520927999,0.005177554520927028,0.0026556665329993635,0.006058272602542648,0.006058272602542642,0.024512680083862017,0.035073601121963935,0.035073601121967946,0.021428185982193156,0.026496373959507137,0.02649637395950711,0.008742038491469694,0.015476039084534533,0.015476039084535018,0.0,0.0,0.0,0.024919096955078286,0.018815430747831933,0.028750652947494973,0.06753775882850595,0.04815816193774456,0.058344022266252495,9.094942704969565e-12,0.0,1.646625507705595e-11,0.015795158904585088,0.02042569651324645,0.020425696513246577,0.011104182049897608,0.008170133182781347,0.012752596787384758,0.020504790048417845,0.008737696845587546,0.01815622636649933,0.11313416963360796,0.05493119379037225,0.10381857910525169,0.14083573572664623,0.0775862027969365,0.10087833565943609,0.045724365825643244,0.02597975153251182,0.038554648736685904,1.0,0.08792569659442724,1.0,0.08792569659442724,0.02857142857142857
